日期,現金（機1表）,現金（機2表）,現金（機3表）,合計現金（POS）,差額,八逹通,信用卡,QR code,Foodpanda,禮券,合計營業額,營業實收
1日,,,,,,,,,,0.0,,
2日,,,,,,,,,,0.0,1000.0,42.0
3日,,,,,0.0,,0.0,1.0,101.0,10.0,,0.0
4日,,4.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,
5日,,0.0,,11.0,,0.0,1.0,,,,,
6日,,,,77.75,,,70.0,,,,,
7日,,,,,,1957.0,,,,,,
8日,,,,,,,,,4.42,,53.428,
9日,,,,,,,,,,3.0,7548.1321,
10日,0.0,,,1674325.0,,5.15,22.0,,,,,
11日,446236.0,,,,,,,,,52.0,,
12日,,,,,,,,83.0,,,,
13日,4.0,,,,,79.4439,,,,,,
14日,,14.0,,,,0.0,,705.0,,,,
15日,4.0,,,,2.0,,,,91.0,195859.0,333322.0,733.0
16日,,,,,,,36.0,,,,,
17日,,,,,,,,,,,,
18日,4.0,,,,,,,,,,,
19日,,2.0,,19358.0,,93.349,25.69379,2.0,0.0,2.0,83272.0,1882.0
20日,,695.0,,,,,,,,,,
21日,,,,,,,,,,,,278.24
22日,1.0,,,15896.0,7.0,10848.0,48.81375,,,,,
23日,,,,,2.0,,,65.0,,,,
24日,,,2.0,,,17.0,,,,,,
25日,,387.0,,,6.0,,,,,,,
26日,,,,,,,,,,273.0,,
27日,,,,,,50.0,,35.25,,,,
28日,2.0,1.0,,,,,,,,,,
29日,0.0,,,,,,1.0,,,,,inf
30日,0.0,,,,,,,,,,,0.0
31日,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,1.0
32日,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0
33日,,1.0,1.0,,1.0,1.0,1.0,,11.0,1.0,10.0,0.0
34日,,,0.0,,1.0,,1.0,,,,,0.0
